Postal code,Place,Bad isolated parts of the house,Date,Amount of money,Measures,Do-it-yourself?,Ventilation measure?,buurt-naam,Disctrict CBS
8012XK,Zwolle,Dak Gevel Ramen Vloer Zolder,12/03/2024,1000,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8012VB,Zwolle,Dak Gevel Ramen Vloer Zolder,12/03/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012VM,Zwolle,Dak Gevel Ramen Vloer Zolder,12/03/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8021ER,Zwolle,Dak Gevel Ramen Vloer,13/03/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Het Noorden,Diezerpoort
8021BX,Zwolle,Dak Gevel Ramen,14/03/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Dieze-Centrum,Diezerpoort
8032CH,Zwolle,Gevel Ramen Vloer Zolder,14/03/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Aa-landen-Zuid,Aa-landen
8021XD,Zwolle,Gevel Vloer,15/03/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2) Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2),Ja,Nee,Bollebieste,Diezerpoort
8023AE,Zwolle,Dak Gevel Ramen Vloer Zolder,15/03/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Wipstrik-Noord,Wipstrik
8042HL,Zwolle,Dak Gevel Ramen Vloer,16/03/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Westenholte-Stins,Westenholte
8011BB,Zwolle,Zolder,18/03/2024,1000,Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2),Nee,Nee,Kamperpoort,Kamperpoort-Veerallee
8017AR,Zwolle,Dak Gevel Ramen Vloer,18/03/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Schelle,Schelle
8042GM,Zwolle,Dak Gevel Ramen Zolder,20/03/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Westenholte-Stins,Westenholte
8031JP,Zwolle,Gevel Vloer Zolder,27/03/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Holtenbroek II,Holtenbroek
8026PL,Zwolle,Dak Zolder,30/03/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Wijthmen,Marsweteringlanden
8013TB,Zwolle,Dak Gevel Vloer Zolder,02/04/2024,1000,Dakisolatie buitenzijde (meer dan 20 m2),Nee,Nee,Pierik,Assendorp
8016BL,Zwolle,Dak Ramen Vloer Zolder,12/04/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oldenelerbroek,Schelle
8042CS,Zwolle,Gevel Vloer,14/04/2024,1000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Westenholte,Westenholte
8013SX,Zwolle,Dak Gevel Ramen Vloer Zolder,15/04/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Pierik,Assendorp
8023TW,Zwolle,Dak Ramen Vloer Zolder,15/04/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Wipstrik-Zuid,Wipstrik
8031JN,Zwolle,Gevel Ramen Zolder,18/04/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Holtenbroek II,Holtenbroek
8011JT,Zwolle,Dak Gevel Ramen Zolder,19/04/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8014AN,Zwolle,Dak Gevel Ramen Vloer Zolder,19/04/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Ittersum,Ittersum
8022RB,Zwolle,Dak Gevel Ramen Vloer Zolder,22/04/2024,1000,Dakisolatie buitenzijde (meer dan 20 m2),Nee,Nee,Indischebuurt,Diezerpoort
8012XK,Zwolle,Dak Gevel Vloer Zolder,23/04/2024,1000,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8023VL,Zwolle,Dak Gevel Ramen Vloer Zolder,26/04/2024,1000,Dakisolatie binnenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Wipstrik-Zuid,Wipstrik
8012TN,Zwolle,Gevel Ramen,27/04/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Ja,Oud-Assendorp,Assendorp
8031JH,Zwolle,Dak Gevel Ramen Vloer Zolder,01/05/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Holtenbroek II,Holtenbroek
8031JH,Zwolle,Gevel Ramen Vloer,01/05/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Holtenbroek II,Holtenbroek
8031JH,Zwolle,Dak Gevel Ramen Vloer,01/05/2024,1000,Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Holtenbroek II,Holtenbroek
8021DP,Zwolle,Dak Gevel Ramen Vloer Zolder,06/05/2024,1000,Bodemisolatie (meer dan 20 m2) Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Het Noorden,Diezerpoort
8012VZ,Zwolle,Dak Gevel Ramen Zolder,07/05/2024,1000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012CR,Zwolle,Dak Gevel Ramen Zolder,11/05/2024,1000,Gevelisolatie binnenzijde/voorzetwand (meer dan 10 m2) Zolder- of vlieringvloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8022RA,Zwolle,Dak Gevel Ramen Vloer Zolder,15/05/2024,1000,Dakisolatie buitenzijde (meer dan 20 m2),Nee,Nee,Indischebuurt,Diezerpoort
