postcode_agg,plaats,gemeentenaam,gemeentecode,wijknaam,buurtnaam,deelprogramma,subsidiejaar,techniek,subcategorie,aantal_adressen,totale_vermogen,aantal_m2,aantal_app
8011LC,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2024.0,Dakisolatie,Dakisolatie,1.0,,140.0,
8011LK,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,1.0,50.0,,2.0
8011LM,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water < 1 kW,1.0,0.0,,1.0
8011MZ,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water >= 3,,,,
8011NA,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2021.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,1.0,13.0,,1.0
8011NA,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011NC,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,33.0,
8011NE,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,ZAKELIJKE MARKT,2023.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,1.0,61.0,,1.0
8011NL,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2025.0,Warmtepomp,Grond-water > 10 kW en <= 70 kW,1.0,16.0,,1.0
8011NP,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water < 1 kW,4.0,0.0,,4.0
8011NP,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,ZAKELIJKE MARKT,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8011NR,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2022.0,Warmtepomp,Lucht-water >= 3,,,,
8011NT,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011NT,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8011NV,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011NV,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8011NX,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011NZ,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,30.0,
8011PJ,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011RT,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water < 1 kW,1.0,0.0,,1.0
8011SG,ZWOLLE,Zwolle,193.0,Wijk 10 Binnenstad,Binnenstad-Zuid,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,1.0,11.0,,1.0
