postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude
8011SG,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.5109347,6.09852975
8011SG,Wijk 10 Binnenstad,Binnenstad-Zuid,2023.0,Warmtepomp,Lucht-water >= 3,52.5109347,6.09852975
8011SG,Wijk 10 Binnenstad,Binnenstad-Zuid,2024.0,Warmtepomp,Lucht-water >= 3,52.5109347,6.09852975
8011SH,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.51233586969697,6.099148342424242
8011SX,Wijk 10 Binnenstad,Binnenstad-Noord,2022.0,Glasisolatie,Triple glas U <= 0,52.51405253888889,6.09221725
8011TD,Wijk 10 Binnenstad,Binnenstad-Zuid,2022.0,Warmtepomp,Lucht-water >= 3,52.51214887647059,6.094534711764706
8011TK,Wijk 10 Binnenstad,Binnenstad-Noord,2023.0,Dakisolatie,Dakisolatie,52.51366072222222,6.09265
8011TK,Wijk 10 Binnenstad,Binnenstad-Noord,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.51366072222222,6.09265
8011TK,Wijk 10 Binnenstad,Binnenstad-Noord,2023.0,Vloerisolatie,Vloerisolatie,52.51366072222222,6.09265
8011TS,Wijk 10 Binnenstad,Binnenstad-Noord,2022.0,Warmtepomp,Lucht-water < 1 kW,52.51321726666667,6.096872635714286
8011TS,Wijk 10 Binnenstad,Binnenstad-Noord,2022.0,Warmtepomp,Lucht-water >= 3,52.51321726666667,6.096872635714286
8011TS,Wijk 10 Binnenstad,Binnenstad-Noord,2024.0,Warmtepomp,Lucht-water < 1 kW,52.51321726666667,6.096872635714286
8011VJ,Wijk 10 Binnenstad,Binnenstad-Noord,2023.0,Glasisolatie,HR++ glas U <= 1,52.514137929166665,6.092813933333334
8011XB,Wijk 10 Binnenstad,Noordereiland,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.51507996666667,6.09544908095238
8011XB,Wijk 10 Binnenstad,Noordereiland,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.51507996666667,6.09544908095238
8011XT,Wijk 10 Binnenstad,Noordereiland,2023.0,Glasisolatie,HR++ glas U <= 1,52.51513958387096,6.094307861290322
8012AA,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.50362343076923,6.098738419230769
8012AA,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.50362343076923,6.098738419230769
8012AA,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3,52.50362343076923,6.098738419230769
8012AB,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Dakisolatie,Dakisolatie,52.50323556666667,6.099707395238095
8012AB,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3,52.50323556666667,6.099707395238095
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2021.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.502785228571426,6.1008315571428575
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2021.0,Vloerisolatie,Vloerisolatie,52.502785228571426,6.1008315571428575
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie,52.502785228571426,6.1008315571428575
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Bodemisolatie,52.502785228571426,6.1008315571428575
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Vloerisolatie,Vloerisolatie,52.502785228571426,6.1008315571428575
8012AC,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Glasisolatie,HR++ glas U <= 1,52.502785228571426,6.1008315571428575
8012AD,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Dakisolatie,Dakisolatie,52.50225594583333,6.102179920833334
8012AD,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Warmtepomp,Lucht-water >= 3,52.50225594583333,6.102179920833334
8012AD,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.50225594583333,6.102179920833334
8012AD,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Vloerisolatie,Vloerisolatie,52.50225594583333,6.102179920833334
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50124490909091,6.1047147
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Glasisolatie,HR++ glas U <= 1,52.50124490909091,6.1047147
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Vloerisolatie,Vloerisolatie,52.50124490909091,6.1047147
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.50124490909091,6.1047147
8012AE,Wijk 13 Assendorp,Nieuw-Assendorp,2024.0,Warmtepomp,Lucht-water >= 3,52.50124490909091,6.1047147
8012AG,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Dakisolatie,Dakisolatie,52.5000247,6.107253116666667
8012AG,Wijk 13 Assendorp,Nieuw-Assendorp,2021.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.5000247,6.107253116666667
8012AG,Wijk 13 Assendorp,Nieuw-Assendorp,2022.0,Glasisolatie,HR++ glas U <= 1,52.5000247,6.107253116666667
8012AG,Wijk 13 Assendorp,Nieuw-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1,52.5000247,6.107253116666667
8012AJ,Wijk 13 Assendorp,Oud-Assendorp,2022.0,Warmtepomp,Lucht-water < 1 kW,52.50445960434782,6.097707365217391
8012AJ,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Dakisolatie,Dakisolatie,52.50445960434782,6.097707365217391
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Dakisolatie,Dakisolatie,52.5038834375,6.100299225
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.5038834375,6.100299225
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Glasisolatie,HR++ glas U <= 1,52.5038834375,6.100299225
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Vloerisolatie,Vloerisolatie,52.5038834375,6.100299225
8012AK,Wijk 13 Assendorp,Oud-Assendorp,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.5038834375,6.100299225
8012AL,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,52.50334581,6.10163154
8012AL,Wijk 13 Assendorp,Oud-Assendorp,2023.0,Warmtepomp,Lucht-water < 1 kW,52.50334581,6.10163154
