postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
8015PT,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2024.0,Warmtepomp,Lucht-water >= 3,52.44722683636364,6.112468559090909,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PT,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2024.0,Zonneboiler,> 5 m2 en <= 10 m2 zonneboilercombi,52.44722683636364,6.112468559090909,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PW,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2022.0,Warmtepomp,Lucht-water >= 3,52.45735664210526,6.11322307368421,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PW,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2023.0,Warmtepomp,Lucht-water >= 3,52.45735664210526,6.11322307368421,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PW,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2024.0,Glasisolatie,HR++ glas U <= 1,52.45735664210526,6.11322307368421,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015PZ,Wijk 52 Soestweteringlanden,Windesheim,2023.0,Glasisolatie,HR++ glas U <= 1,52.44659895217392,6.1302969,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PZ,Wijk 52 Soestweteringlanden,Windesheim,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.44659895217392,6.1302969,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015PZ,Wijk 52 Soestweteringlanden,Windesheim,2023.0,Warmtepomp,Lucht-water >= 3,52.44659895217392,6.1302969,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015RB,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2022.0,Dakisolatie,Dakisolatie,52.45497092,6.132789595,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015RB,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2022.0,Warmtepomp,Lucht-water >= 3,52.45497092,6.132789595,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015RB,Wijk 52 Soestweteringlanden,Harculo en Hoog-Zuthem,2024.0,Warmtepomp,Lucht-water < 1 kW,52.45497092,6.132789595,33,112,521,Harculo en Hoogzutmen,Harculo en Hoog-Zuthem,11408557.7371477,19981.837249387303,Harculo en Hoog-Zuthem
8015RE,Wijk 52 Soestweteringlanden,Windesheim,2023.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.44597233333333,6.131005433333334,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8015RE,Wijk 52 Soestweteringlanden,Windesheim,2023.0,Warmtepomp,Lucht-water >= 3,52.44597233333333,6.131005433333334,13,92,520,Windesheim,Windesheim,532781.7904215141,3524.1440727211902,Windesheim
8016AA,Wijk 50 Schelle,Oldenelerlanden-Oost,2023.0,Warmtepomp,Lucht-water >= 3,52.48550877368421,6.103238321052632,35,114,504,Oldenelerlanden-oost,Oldenelerlanden-Oost,345481.748614459,2611.5209431469198,Oldenelerlanden-Oost
8016AA,Wijk 50 Schelle,Oldenelerlanden-Oost,2024.0,Glasisolatie,HR++ glas U <= 1,52.48550877368421,6.103238321052632,35,114,504,Oldenelerlanden-oost,Oldenelerlanden-Oost,345481.748614459,2611.5209431469198,Oldenelerlanden-Oost
8016AA,Wijk 50 Schelle,Oldenelerlanden-Oost,2024.0,Spouwmuurisolatie,Spouwmuurisolatie,52.48550877368421,6.103238321052632,35,114,504,Oldenelerlanden-oost,Oldenelerlanden-Oost,345481.748614459,2611.5209431469198,Oldenelerlanden-Oost
